iter	Passed	Remaining
398	117927	29851
399	118243	29560
400	118543	29266
401	118872	28978
402	119195	28689
403	119503	28396
404	119781	28096
405	120044	27793
406	120339	27497
407	120671	27210
408	120964	26913
409	121298	26626
410	121590	26329
411	121887	26034
412	122176	25737
413	122475	25441
414	122739	25139
415	123006	24837
416	123283	24538
417	123570	24241
418	123793	23931
419	124091	23636
420	124343	23332
421	124582	23027
422	124797	22717
423	125024	22410
424	125310	22113
425	125581	21814
426	125866	21518
427	126131	21218
428	126463	20929
429	126689	20623
430	126971	20327
431	127256	20031
432	127557	19737
433	127844	19441
434	128156	19149
435	128425	18851
436	128695	18553
437	128980	18257
438	129236	17957
439	129510	17660
440	129798	17365
441	130093	17071
442	130366	16773
443	130680	16482
444	131011	16192
445	131367	15905
446	131679	15613
447	131995	15320
448	132331	15030
449	132602	14733
450	132892	14438
451	133246	14150
452	133597	13861
453	133884	13565
454	134199	13272
455	134472	12975
456	134751	12679
457	135064	12385
458	135331	12088
459	135653	11795
460	135911	11497
461	136254	11207
462	136559	10912
463	136872	10619
464	137198	10326
465	137517	10033
466	137831	9739
467	138122	9444
468	138407	9148
469	138722	8854
470	139009	8558
471	139301	8263
472	139562	7966
473	139827	7669
474	140093	7373
475	140317	7074
476	140567	6777
477	140858	6483
478	141084	6185
479	141311	5887
480	141575	5592
481	141807	5295
482	142027	4998
483	142297	4704
484	142594	4410
485	142893	4116
486	143178	3822
487	143467	3527
488	143763	3233
489	144008	2938
490	144275	2644
491	144586	2351
492	144844	2056
493	145116	1762
494	145411	1468
495	145769	1175
496	146055	881
497	146332	587
498	146619	293
499	146965	0
